X;Y
17,4783281;1,8886033
5,8400925;14,6307420
4,6190172;16,9125877
18,5068513;0,7071129
4,4158420;13,8457367
4,6788582;13,7166414
15,9610666;0,8718517
16,8862438;2,6996991
5,3131145;14,1036570
5,5218609;13,8915371
5,8986204;14,9510179
6,6747823;13,1625950
15,6049155;0,4816398
4,7704614;14,4611317
17,9263609;0,8007891
5,6379993;14,2037055
4,9772988;14,3830489
17,5036126;0,1415328
16,2182352;1,4069202
19,0784404;2,6767332
5,0472603;13,8194514
17,4997961;2,3440678
5,9448210;13,7818086
4,8165319;13,6653802
3,9918454;11,9803274
4,6474295;13,3330095
3,4944912;14,4016244
19,1230071;1,7961287
4,8221407;12,4641022
17,5075361;0,4989565
19,3215135;3,1544992
17,2046534;0,3027593
16,4136444;2,1310347
16,0409753;0,2438972
5,2961780;14,7091596
17,3464901;1,1013853
16,3621065;1,0516253
18,1065109;1,0315038
18,9592427;1,0713650
5,9504620;14,8654361
17,4709042;1,3413595
16,8510987;3,8980261
6,6285038;14,8795784
16,9482072;0,0028090
16,2860799;1,9061219
4,4702653;15,5050107
3,7193902;15,3500253
15,8750893;0,2065415
16,5628719;1,6928048
16,2929513;1,1678345
5,3209510;15,6342184
14,7176576;1,4187214
4,8332775;15,4410895
16,5973111;0,9912987
18,1902532;1,1172824
17,7278327;0,4601128
17,6244031;2,5284954
5,9704972;11,6289917
16,0890795;1,1868291
5,6091788;15,8932743
15,8330964;0,1478220
18,5913096;0,0860258
16,5844168;3,2284593
16,3439832;0,8370259
18,2596964;1,6372258
19,1134114;2,7540448
15,7943349;1,9168778
4,6704804;12,9554049
16,1461885;1,7689311
17,9003135;2,4816050
6,6781064;14,4506017
17,0171815;0,7131674
5,5331838;14,2695937
15,4830909;2,1206925
4,8281562;15,5075761
4,5591425;13,1332034
5,8566675;13,4589994
4,8199753;16,8637622
16,8944151;2,3593751
18,5420952;1,7451213
6,0311283;14,0726152
18,1050639;0,9749604
5,8290942;15,2155050
5,8404068;15,9321992
5,1323193;15,0061466
2,8723457;14,1332481
4,1831868;14,7217404
17,7367758;2,1881490
5,3324855;13,1935632
18,4400243;1,0738309
5,6100483;13,3648201
17,1645595;2,0353284
18,7407269;1,6350167
15,1433302;2,6863029
5,6919692;12,5399094
16,6492386;0,8822367
6,3212099;16,0530278
18,7255934;1,5906328
16,8404313;0,2650863
14,7523775;2,6052888
16,3838812;0,5931507
15,8946950;0,9590764
16,6328665;1,4648333
5,8707441;12,6587975
4,5181011;13,9377430
4,9203302;13,7844117
4,3509733;15,9541972
17,5263068;3,3198002
6,4606393;14,1222034
17,5664703;0,6225837
18,2072544;-0,0170016
5,8470513;14,2846297
16,5126857;2,2276471
5,4940386;14,1357315
18,4253627;2,4983076
4,8428616;12,7909192
4,7576136;14,9076553
17,3423262;1,2807677
16,3439787;1,8559089
4,9481376;15,3396568
4,7331585;13,9775925
16,9308193;-0,1824566
5,3263930;15,3453784
5,4684376;12,3586114
4,3937675;15,0098766
4,3076707;12,2718399
14,4083199;0,8236162
16,4605182;0,7102662
16,7691664;2,5953973
16,7998338;0,6755582
16,4945200;1,4812617
14,6190232;1,1204121
16,8478093;1,4962520
15,7274523;2,4304045
5,9720090;14,0011494
15,8103507;0,6171375
4,8808180;15,3224667
16,8767702;2,0615830
18,7732461;2,4630733
3,3729473;14,2485542
4,9597115;12,4885713
5,4185724;14,8539185
5,2144756;15,8376729
17,6465618;1,2652376
5,7190084;15,1222194
7,3351751;14,6258897
16,5024627;1,6045828
4,6338211;13,6944529
18,2231028;0,9338129
5,9133688;14,0485927
4,5303351;11,5785553
3,8213494;13,3281212
5,5149869;13,4136593
5,1595713;11,8699683
16,8972845;1,0872412
5,5632522;12,9342729
17,7981085;0,9793001
5,5146645;16,1039173
15,3504264;2,7373839
5,4087831;15,3337966
5,2339544;15,6190230
4,3204969;14,4512099
3,1621457;14,0183574
17,8814111;1,4437134
17,6501524;0,3040253
17,6335556;1,2147283
5,2559720;13,9328440
4,2613368;15,2532154
6,1254789;14,3482044
6,5175533;15,3102090
5,2029089;14,2523991
15,6440371;2,2680218
17,7534955;1,4539383
16,1433336;0,9123898
18,1207349;1,2424863
5,0383103;14,4560874
5,2835509;14,3896965
16,3895098;1,8705473
5,3679266;13,9345783
17,3778749;0,5493350
5,8817665;14,9986136
16,6157383;0,8293043
16,3062022;2,6532651
6,1201008;13,5376489
17,7547905;2,4847366
19,8238580;2,4736042
16,7751297;1,2356085
17,2971541;0,0895573
16,1109500;0,4071438
5,9069848;14,9582401
18,5518888;1,4228642
5,5231343;14,9065920
17,5710149;2,7330055
5,4857536;15,4335821
16,2325441;-0,1691277
16,1803704;0,5818617
16,2064075;1,8118415
17,7414533;1,2136731
18,1983317;1,8316560
16,4924027;1,4132407
7,0543907;16,4926260
17,1734193;0,1554792
4,7325940;14,8310677
4,8894452;12,6942229
5,3120526;15,1835206
4,6488326;14,4487389
5,6004349;14,7726531
16,9606315;0,6379910
15,2563534;1,2916945
17,2452640;2,3235454
18,5425380;1,1455590
18,6189105;1,3745146
17,9679984;2,1066131
5,4513974;13,8295787
15,9291992;1,9461571
4,5130374;14,4216738
5,4264068;12,6661979
16,8855342;1,5666718
5,6604663;15,6502235
18,5600239;2,1488441
5,4465079;12,5056261
5,0284980;15,5568316
15,1363540;0,9626648
16,0998945;0,5830695
17,0413078;1,4185557
17,0652405;2,8896405
5,8819465;14,1030664
6,3041220;13,7405535
4,6702442;14,9087353
6,2204754;14,6037734
5,5063795;14,4111620
6,7586039;14,6875248
17,9822468;2,5609972
5,3195231;15,1031567
17,4632086;1,1787499
16,3411027;1,1685486
17,3878475;2,5986116
4,4587750;15,1325811
17,8092507;1,2278740
4,6204695;12,2176829
5,6075349;15,4158160
6,4341848;14,3431449
15,7462166;3,1822869
16,9373510;0,9916938
17,8480987;2,3120959
19,1783714;2,3644071
5,5273374;17,4237386
4,2741587;14,6616976
16,4785663;1,6025530
16,4401037;1,0928915
17,3914266;2,1111903
17,7050469;1,8779044
19,1443528;2,2017061
4,0687342;14,1729120
4,7170814;14,2386807
18,0517752;1,5105696
17,9230067;1,8300122
19,3209156;2,3121993
4,2147553;13,5579415
16,4090027;0,2788388
5,8919144;13,1812819
5,6567201;13,9324883
5,0403168;14,9844057
4,3668937;14,6371808
17,6393278;0,9082202
17,6897410;0,3109691
5,6547293;14,6154419
6,7364635;14,6079450
16,3139101;2,5555218
5,7947457;12,9539345
4,7783071;13,5800636
15,1501041;0,9863039
17,1141394;1,4318489
5,9143217;14,9843471
17,4280315;1,1836946
4,8812143;13,9478071
4,7589865;15,5006959
16,5331305;2,9031919
5,2882271;16,6070081
4,6597896;14,9092546
16,5055988;1,1940435
16,3774008;3,5786130
3,1474050;12,9522306
5,2167508;15,8363913
5,1365721;17,1424299
17,4152397;1,3077467
17,3683187;1,1325024
5,2046671;14,8504496
4,3587443;15,4368391
17,0869398;0,4023361
18,7597491;2,4841125
19,2399826;1,3017959
18,1873922;0,3908190
17,2135199;2,5510973
17,7608469;0,3283382
17,7047884;1,3335881
5,1923030;16,8741186
