X;Y
3,8258956;9,1525493
2,7745466;10,8126296
12,8070445;21,0421756
4,1534440;9,5680706
13,1793172;19,3276529
1,5570157;8,4892874
12,0409257;19,1185031
12,8722227;19,1473666
14,6726033;20,8839654
13,7890112;21,1885999
14,7746112;18,0009266
13,5160312;22,6649664
15,2015357;19,1134172
15,1202990;18,7476937
13,9773092;19,5328689
4,0747592;9,4456533
4,1572557;7,0889422
13,6829458;20,9724235
13,9564527;20,5883292
14,4157458;19,4024586
15,5695799;21,0402380
2,5327266;7,0159931
14,2388821;20,4624178
13,1541525;21,3257883
2,2335289;6,9582681
2,3549858;6,3835479
3,8290189;6,8763704
2,9292915;8,0957339
4,7159715;8,9461574
12,8944438;20,7734504
14,1656834;19,0882269
3,1013001;7,7702440
3,2472113;8,4486574
2,5208732;9,9146039
16,2006156;19,5958940
4,5695151;6,0306393
12,0305517;19,8815623
2,4981401;7,4860640
14,2694087;20,2424085
14,1377630;20,4292548
1,8992824;9,3423735
4,5451295;6,1934021
3,9008731;7,9370532
2,2410786;7,2559365
13,5781585;18,9277759
3,2991716;8,9161343
2,4997612;8,3305818
13,7630158;20,4646757
14,7144500;21,1701760
14,4103749;19,8717690
2,8199073;8,4989453
14,3065082;19,8750944
15,2487417;19,1462359
3,5182646;8,5986169
3,9296423;6,6030202
4,1278173;6,0603525
14,0324092;19,0400861
13,9906289;21,3625709
12,4935839;19,7555530
15,1398891;16,9736685
4,1145409;8,0344510
3,1897352;7,9947649
2,8877396;8,3127200
15,0181112;20,2819383
4,0649423;9,2087849
3,6879753;9,6725295
3,9945003;8,1733875
14,8606553;22,1222575
15,9697645;20,1861649
15,2235459;20,6207588
4,4666039;9,1878329
3,4277392;7,0348636
13,5877788;19,0874995
4,5002811;9,4755038
15,2897524;21,2177214
2,7154826;8,7631000
3,4671114;10,2739909
4,1430399;8,6376124
13,8069237;23,0802627
14,4256697;20,5355190
15,5613643;19,1628466
13,8689124;17,9058979
4,3218071;8,7993618
14,0916199;18,8547087
2,8811154;8,5093129
15,4948204;18,8093592
4,0275449;8,9228397
3,5730850;8,5774374
12,5482333;19,1229119
2,6224557;8,6249639
4,3678246;9,7617882
3,2203637;7,7816228
3,8084339;8,8209684
3,7771809;9,0071144
3,5970095;8,2044985
4,5103361;8,8036233
13,2755870;21,0948683
15,1777291;19,2839949
3,5339845;8,9730457
3,2391041;9,2347493
14,0780147;20,0075257
14,3225960;18,1101582
12,6139601;18,7859551
15,3975923;19,6024783
14,9942368;19,9776258
2,5206663;7,7783963
12,9550531;17,9853798
13,9584754;18,9977592
3,5109412;8,1158810
4,2963859;8,3715270
3,8345003;8,5548314
14,9314697;20,1419979
5,2967784;5,6351473
15,5693115;19,9052675
3,5437666;8,7231138
3,7464087;9,0429266
13,3555812;20,4001271
13,9858035;19,3069249
2,7768776;6,3776040
2,7247916;7,4727927
13,0617947;19,3962246
14,3563815;19,7181401
2,7666454;7,3069535
13,5355561;21,1953599
3,6761905;8,5588701
15,1275626;18,8028622
4,6800949;9,2043058
14,4795788;20,2443059
15,7445350;21,4013357
